Path,Size,Ext
C:\Users\User\Downloads\1.txt,935,.txt
C:\Users\User\Downloads\2.txt,390,.txt
C:\Users\User\Downloads\2차원배열과 주소.txt,684,.txt
C:\Users\User\Downloads\3.txt,371,.txt
C:\Users\User\Downloads\4.txt,124,.txt
C:\Users\User\Downloads\5.txt,505,.txt
C:\Users\User\Downloads\6 (1).txt,533,.txt
C:\Users\User\Downloads\6.txt,533,.txt
C:\Users\User\Downloads\ChromeSetup.exe,10384768,.exe
C:\Users\User\Downloads\Copilot Installer (1).exe,1106976,.exe
C:\Users\User\Downloads\Copilot Installer (2).exe,1106976,.exe
C:\Users\User\Downloads\Copilot Installer.exe,1096224,.exe
C:\Users\User\Downloads\eclipse-inst-jre-win64.exe,138750560,.exe
C:\Users\User\Downloads\Fusion Client Downloader (1).exe,13747576,.exe
C:\Users\User\Downloads\Fusion Client Downloader (2).exe,13747576,.exe
C:\Users\User\Downloads\Fusion Client Downloader.exe,13747576,.exe
C:\Users\User\Downloads\Git-2.52.0-64-bit.exe,66292520,.exe
C:\Users\User\Downloads\GOMPLAYERKORSETUP.EXE,32098224,.exe
C:\Users\User\Downloads\ICT_REPORTX_SETUP.exe,7810416,.exe
C:\Users\User\Downloads\KakaoTalk_Setup.exe,86082872,.exe
C:\Users\User\Downloads\MakerBotPrintInstaller.exe,394916968,.exe
C:\Users\User\Downloads\python-3.13.1-amd64.exe,28688288,.exe
C:\Users\User\Downloads\R-4.5.1-win.exe,90111968,.exe
C:\Users\User\Downloads\RStudio-2025.09.1-401.exe,287977784,.exe
C:\Users\User\Downloads\test1 (1).txt,322,.txt
C:\Users\User\Downloads\test1.txt,322,.txt
C:\Users\User\Downloads\test10.txt,3320,.txt
C:\Users\User\Downloads\test2.txt,119,.txt
C:\Users\User\Downloads\test3.txt,219,.txt
C:\Users\User\Downloads\test4.txt,189,.txt
C:\Users\User\Downloads\test5.txt,240,.txt
C:\Users\User\Downloads\test6.txt,233,.txt
C:\Users\User\Downloads\test7.txt,228,.txt
C:\Users\User\Downloads\test8.txt,263,.txt
C:\Users\User\Downloads\test9.txt,234,.txt
C:\Users\User\Downloads\V3_Lite_Setup.exe,104435808,.exe
C:\Users\User\Downloads\VisualStudioSetup.exe,4450952,.exe
C:\Users\User\Downloads\배열 포인터 연산자.txt,547,.txt
C:\Users\User\Downloads\수업소스코드0605.txt,961,.txt
C:\Users\User\Downloads\수업소스코드0605_1.txt,262,.txt
C:\Users\User\Downloads\수업소스코드0605_2.txt,262,.txt
C:\Users\User\Downloads\수업소스코드0605_구조체.txt,753,.txt
C:\Users\User\Downloads\수업소스코드0605_구조체의 포인터형.txt,759,.txt
C:\Users\User\Downloads\수업소스코드0605_배열과 배열포인터형.txt,421,.txt
"C:\Users\User\Downloads\폴라리스 오피스 - HWP, PDF, MS문서 편집 Installer.exe",1104440,.exe
